modzcta,modzcta_name,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,40.571571,-74.125541,1955.0,71.0,0.03631713554987212,0.572872722,0.448168946
10307,Tottenville,40.507771,-74.24227,622.0,37.0,0.0594855305466238,0.457710381,0.363554341
10308,Great Kills,40.551574,-74.150454,1031.0,46.0,0.0446168768186227,0.492882954,0.391488688
10309,Charleston/Prince's Bay/Woodrow,40.531355,-74.220574,1348.0,73.0,0.05415430267062315,0.483733478,0.384109003
10310,Port Richmond/Randall Manor/West Brighton,40.632398,-74.11618,1024.0,32.0,0.03125,0.553993635,0.423104081
10312,Annadale/Rossville,40.545128,-74.18169,2407.0,80.0,0.033236393851267136,0.525652111,0.422128341
10314,Bloomfield/Freshkills Park,40.599333,-74.166462,3084.0,92.0,0.029831387808041506,0.525362693,0.411047475
10451,Concourse/Melrose,40.820705,-73.923865,1738.0,24.0,0.01380897583429229,0.481907798,0.365346367
10452,Concourse/Highbridge,40.837364,-73.923461,2237.0,61.0,0.027268663388466695,0.461356231,0.330585414
10453,Morris Heights/Mount Hope/University Heights,40.852304,-73.913578,2236.0,56.0,0.025044722719141325,0.417277157,0.293532295
10454,Mott Haven/Port Morris,40.805487,-73.916605,1239.0,33.0,0.026634382566585957,0.421390525,0.297181607
10455,Mott Haven,40.8147,-73.908583,1338.0,38.0,0.028400597907324365,0.421313585,0.306180923
10456,Claremont/Morrisania,40.829884,-73.908121,2632.0,69.0,0.02621580547112462,0.399104471,0.288242118
10457,Belmont/Claremont/Mount Hope/Tremont,40.847151,-73.898676,2262.0,60.0,0.026525198938992044,0.411012697,0.287418965
10458,Belmont/Fordham University/Kingsbridge,40.862531,-73.88817,2505.0,62.0,0.02475049900199601,0.410170316,0.284691885
10459,Charlotte Gardens/Hunts Point,40.82584,-73.892976,1466.0,44.0,0.030013642564802184,0.427702326,0.313659921
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,40.841753,-73.879584,1927.0,55.0,0.028541774779449924,0.403269855,0.290402354
10461,Morris Park/Pelham Bay/Westchester Square,40.847415,-73.840601,1551.0,29.0,0.018697614442295292,0.625746456,0.480939021
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,40.842874,-73.858772,2282.0,55.0,0.024101665205959685,0.53796699,0.400993405
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,40.880824,-73.906514,2116.0,41.0,0.019376181474480152,0.571857678,0.460549126
10464,City Island,40.872311,-73.804653,123.0,1.0,0.008130081300813009,0.681955653,0.561174869
10465,Country Club/Throgs Neck,40.823931,-73.822886,1226.0,28.0,0.022838499184339316,0.514638972,0.408979523
10466,Edenwald/Wakefield,40.890965,-73.845912,2449.0,57.0,0.023274806043282973,0.375067104,0.279765564
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,40.880939,-73.873956,3232.0,89.0,0.027537128712871287,0.426242628,0.313139113
10468,Fordham/Kingsbridge/University Heights,40.868161,-73.899844,2171.0,56.0,0.025794564716720404,0.425032859,0.303511436
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,40.86876,-73.846984,2121.0,46.0,0.021687883074021686,0.431511533,0.328348654
10470,Wakefield/Woodlawn,40.895986,-73.86802,575.0,8.0,0.01391304347826087,0.508631043,0.397610911
10471,Fieldston/North Riverdale/Riverdale,40.899509,-73.901518,741.0,23.0,0.0310391363022942,0.698264123,0.585480638
10472,Soundview,40.829561,-73.869393,2110.0,62.0,0.029383886255924172,0.425788776,0.30696583
10473,Castle Hill/Clason Point/Soundview,40.818135,-73.858718,2010.0,65.0,0.03233830845771144,0.448283295,0.340498969
10474,Hunts Point,40.810595,-73.884618,327.0,10.0,0.03058103975535168,0.363920225,0.246093595
10475,Co-op City/Edenwald,40.868941,-73.824854,1435.0,19.0,0.0132404181184669,0.506321316,0.432197139
11004,Bellerose/Douglaston-Little Neck,40.748068,-73.710907,428.0,12.0,0.028037383177570093,0.615269679,0.498562646
11101,Astoria (South)/Long Island City/Sunnyside,40.747077,-73.938586,1370.0,19.0,0.013868613138686132,0.804501284,0.539380801
11102,Astoria (North),40.772498,-73.925912,1080.0,24.0,0.022222222222222223,0.698434713,0.49695237
11103,Astoria (North)/Astoria (South),40.762536,-73.913541,1152.0,27.0,0.0234375,0.611866179,0.426003152
11104,Sunnyside,40.744658,-73.920205,880.0,18.0,0.020454545454545454,0.687837702,0.493021443
11105,Ditmars Steinway,40.778969,-73.906286,1127.0,19.0,0.01685891748003549,0.56026768,0.411746978
11106,Astoria (South),40.761792,-73.931771,1502.0,29.0,0.019307589880159785,0.651898382,0.456580809
11109,Long Island City,40.746211,-73.956999,263.0,2.0,0.0076045627376425855,0.778743591,0.550791249
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,40.694609,-73.989581,2630.0,29.0,0.011026615969581748,0.760709325,0.564822151
11203,East Flatbush (North)/East Flatbush (South),40.649576,-73.934363,2487.0,87.0,0.03498190591073583,0.396639511,0.289601862
11204,Bensonhurst/Mapleton,40.618774,-73.984824,1844.0,44.0,0.02386117136659436,0.488103336,0.326506704
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,40.694625,-73.966212,1358.0,28.0,0.020618556701030927,0.47363683,0.329429796
11206,Williamsburg (South),40.701957,-73.942361,2368.0,70.0,0.02956081081081081,0.469050256,0.313612177
11207,Cypress Hills/East New York,40.670819,-73.894255,3290.0,173.0,0.052583586626139815,0.376383954,0.256969868
11208,Cypress Hills/East New York,40.668385,-73.871084,3106.0,143.0,0.04603992273019961,0.395061828,0.267820471
11209,Bay Ridge/Fort Hamilton,40.621811,-74.030011,2445.0,69.0,0.02822085889570552,0.589398264,0.439987737
11210,Flatlands/Midwood,40.628165,-73.946316,1655.0,54.0,0.03262839879154079,0.363922917,0.263718986
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),40.712334,-73.953851,2469.0,56.0,0.022681247468610773,0.570958931,0.385751675
11212,Ocean Hill-Brownsville,40.662935,-73.913011,3010.0,116.0,0.038538205980066444,0.361467845,0.252254105
11213,Crown Heights (East),40.671074,-73.93633,2253.0,76.0,0.033732800710164226,0.380083315,0.26298912
11214,Bath Beach/Bensonhurst/Gravesend,40.598729,-73.99621,2458.0,94.0,0.03824247355573637,0.506441925,0.344487954
11215,Gowanus/Park Slope/Windsor Terrace,40.66252,-73.986872,2502.0,30.0,0.011990407673860911,0.694616169,0.540352668
11216,Bedford-Stuyvesant (West)/Crown Heights (West),40.680785,-73.94931,1891.0,43.0,0.022739291380222106,0.550898784,0.394262394
11217,Boerum Hill/Park Slope,40.682417,-73.97938,1512.0,19.0,0.012566137566137565,0.650057689,0.485730408
11218,Kensington/Windsor Terrace,40.64348,-73.976044,2211.0,56.0,0.02532790592492085,0.541150779,0.388543802
11219,Borough Park,40.632662,-73.996666,1856.0,58.0,0.03125,0.419581171,0.258424289
11220,Sunset Park,40.641081,-74.016495,2714.0,122.0,0.0449521002210759,0.657290826,0.380318012
11221,Bedford-Stuyvesant (East)/Bushwick,40.691339,-73.927885,2657.0,68.0,0.02559277380504328,0.499403415,0.335800653
11222,Greenpoint,40.728292,-73.947562,1180.0,15.0,0.012711864406779662,0.69898725,0.489206863
11223,Gravesend/Homecrest,40.597169,-73.973422,2234.0,103.0,0.046105640107430616,0.439484606,0.303561202
11224,Brighton Beach/Coney Island/Seagate,40.57666,-73.988581,1415.0,57.0,0.040282685512367494,0.392731384,0.280617323
11225,Crown Heights (West)/Prospect Lefferts Gardens,40.663056,-73.954226,1878.0,65.0,0.03461128860489883,0.500568194,0.353897388
11226,Flatbush/Prospect Lefferts Gardens,40.646456,-73.956654,3275.0,110.0,0.03358778625954199,0.450685405,0.310956637
11228,Bath Beach/Dyker Heights,40.616715,-74.013054,1334.0,57.0,0.04272863568215892,0.559726029,0.395688792
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,40.601175,-73.944465,2675.0,100.0,0.037383177570093455,0.459326064,0.33475841
11230,Midwood,40.622164,-73.965096,2481.0,97.0,0.03909713825070536,0.400942327,0.284055609
11231,Carroll Gardens/Cobble Hill/Red Hook,40.677562,-74.004445,1554.0,35.0,0.02252252252252252,0.621383355,0.473656635
11232,Sunset Park,40.655984,-74.005304,933.0,21.0,0.022508038585209004,0.538735566,0.351653244
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,40.678302,-73.919931,2456.0,76.0,0.030944625407166124,0.362438232,0.255744398
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,40.60758,-73.910513,2804.0,75.0,0.02674750356633381,0.41432027,0.312720525
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,40.583915,-73.949669,2175.0,91.0,0.04183908045977011,0.43398958,0.321900473
11236,Canarsie,40.640004,-73.901459,3208.0,97.0,0.030236907730673317,0.342855385,0.2494866
11237,Bushwick/East Williamsburg,40.704153,-73.920883,1362.0,37.0,0.027165932452276064,0.544502161,0.354673043
11238,Clinton Hill/Prospect Heights,40.679179,-73.963804,2030.0,38.0,0.0187192118226601,0.711353616,0.53128917
11239,East New York,40.64753,-73.882398,508.0,17.0,0.03346456692913386,0.547885852,0.437434
11354,Flushing/Murray Hill,40.76863,-73.827229,1421.0,42.0,0.029556650246305417,0.732459219,0.497909006
11355,Flushing/Murray Hill/Queensboro Hill,40.751459,-73.821014,2158.0,124.0,0.057460611677479144,0.78762873,0.495375364
11356,College Point,40.784867,-73.841495,914.0,30.0,0.03282275711159737,0.656464346,0.433292346
11357,Whitestone,40.78639,-73.810964,1311.0,27.0,0.020594965675057208,0.657154111,0.498584387
11358,Auburndale/Murray Hill,40.760475,-73.79637,1066.0,19.0,0.017823639774859287,0.724118936,0.512996298
11360,Bayside (North),40.78205,-73.7808,597.0,7.0,0.011725293132328308,0.693586186,0.552278304
11361,Bayside (North)/Bayside (South),40.763748,-73.772419,767.0,14.0,0.018252933507170794,0.725476903,0.525116803
