date_of_interest,CASE_COUNT
3/10/21,3192
3/11/21,3093
3/12/21,3201
3/13/21,2171
3/14/21,1915
3/15/21,3386
3/16/21,3189
3/17/21,3165
3/18/21,2909
3/19/21,3037
3/20/21,2155
3/21/21,2072
3/22/21,3847
3/23/21,3215
3/24/21,3437
3/25/21,3747
3/26/21,3399
3/27/21,2204
3/28/21,1728
3/29/21,3512
3/30/21,3148
3/31/21,3155
4/1/21,2832
4/2/21,2591
4/3/21,2030
4/4/21,1462
4/5/21,3248
4/6/21,2990
4/7/21,2745
4/8/21,2549
4/9/21,2457
4/10/21,1708
4/11/21,1292
4/12/21,2511
4/13/21,2338
4/14/21,2225
4/15/21,1991
4/16/21,1818
4/17/21,1250
4/18/21,1036
4/19/21,1860
4/20/21,1576
4/21/21,1385
4/22/21,1335
4/23/21,1248
4/24/21,818
4/25/21,724
4/26/21,1308
4/27/21,1063
4/28/21,1096
4/29/21,944
4/30/21,770
